|Mortal Fea!|	|Greg Iles|
|Pakistan Papers|	|Yani Shankar Aiyer|
|Muslim Law and the Constitution|	|A M.Bhattacharjea|
|Gulzari Lal Nanda|	|A Peep in the Service of the People: Promilla Kalhan|
|Diana–Princess of Wales|	|A Tribute: Tim Graham|
|Mohandas|	|A True Story of a Man, His People and an Empire : Rajmohan Gandhi|
|Faith & Fire|	|A Way Within: Madhu Tandon|
|Divine Comedy|	|A. Dante|
|La Divine Comedia|	|A. Dante|
|Beyond Autonomy-Roots of India's Foreign Policy|	|A. K. Damodaran|
|Jawaharlal Nehru–A Communicator & Democratic Leader|	|A. K. Damodran|
|Lotus Eaters|	|A. Tennvson|
|Diplomacy for the Next Century|	|Abba Eban|
|The Believers|	|Abdul Sultan P. P.|
|Ain-i-Akbari|	|Abul Fazal|
|Akbarnama|	|Abul Fazal|
|Islamic Seal on India's Independence|	|Abul Kalam Azad–A Fresh Look : Syede Saiyiadan Hameed|
|Beginning of the Beginning|	|Acharya Rajneesh|
|Returning to the Source|	|Acharya Rajneesh|
|Agni Pariksha|	|Acharya Tulsi|
|Hold Back the Night|	|Adam Baran|
|An Inquiry into the Nature and Causes of the Wealth of Nations|	|Adam Smith|
|Falling Leaves Return to Their Roots|	|Adeline Yen Man|
|Mein Kampf|	|Adolf Hitler|
|Death on the Nile|	|Agatha Christie|
|Murder on the Orient Express|	|Agatha Christie|
|Taliban-Islam-Oil and the New Great Game in Central Asia|	|Ahmed Rashid|
|Social Justice & the Constitution|	|Ajit Bhattacharjea|
|Kashmir–The Wounded Valley|	|Ajit Bhattacharjee|
|Earth in the Balance–Forging a New Common Purpose|	|Al Gore|
|Storm in the Sea Wind–Ambani Vs Ambani|	|Alam Srinivas|
|The A-Z of Bradman|	|Alan Eason|
|Cry, My Beloved Country|	|Alan Paton|
|Exile and the Kingdom|	|Albert Camus|
|Happy Death|	|Albert Camus|
|La Peste|	|Albert Camus|
|Myth of Sisyphus|	|Albert Camus|
|Inside the Third Reich|	|Albert Spencer|
|Tahqiq-i-Hind|	|Alberuni|
|Along the Road|	|Aldous Huxley|
|Antic Hay|	|Aldous Huxley|
|Ape and Essence|	|Aldous Huxley|
|Ends and Means|	|Aldous Huxley|
|Eyeless in Gaza|	|Aldous Huxley|
|Grey Eminence|	|Aldous Huxley|
|A Captain's Diary|	|Alec Stewart|
|Indian Summer–The Secret History of the end of an Empire|	|Alex Von|
|The Count of Monte Cristo|	|Alexander Dumas|
|Cancer Ward|	|Alexander Solzhenitsyn|
|Candle in the Wind|	|Alexander Solzhenitsyn|
|First Circle|	|Alexander Solzhenitsyn|
|Gulag Archipelago|	|Alexander Solzhenitsyn|
|Inferno|	|Alighieri Dante|
|Paradise|	|Alighieri Dante|
|Purgatory|	|Alighieri Dante|
|Everest Hotel|	|Allan Sealey|
|Loneliness of the Long Distance Runner|	|Allan Sillitoe|
|Advice and Consent|	|Allen Drury|
|Revolutionary Wealth|	|Alvin and Heidi Toffler|
|Horizons–The Tata India Century|	|Aman Nath, Jay Vithalani, Tulsi Vatsal|
|Lest We Forget|	|Amarinder Singh|
|Development As Freedom|	|Amartya Sen|
|Development with Dignity-A Case for Full Employment|	|Amit Bhaduri|
|A New World|	|Amit Chaudhuri|
|Freedom Song|	|Amit Chaudhuri|
|Real Time|	|Amit Chaudhuri|
|St. Cyril Road|	|Amit Chaudhuri|
|Glass Palace|	|Amitabha Ghosh|
|Circle of Reason|	|Amitav Ghosh|
|The Calcutta Chromosome|	|Amitav Ghosh|
|Husband of a Fanatic|	|Amitava Kumar|
|On the Edge of a Century|	|Amlan Datta|
|Netaji Subhash–Ideology & Doctrine|	|Amlendu Guha|
|Kasturba–A Life|	|Amn Gandhi|
|Finding a Voice–Asian Women in Britain|	|Amrit Wilson|
